last_name,first_name,team,position,draft_year,debut_date,birthdate,age_exact,age
Haase,Eric,CLE,C,2011,9/02/2018,1992-12-18,26.871120592858748,26
Hand,Brad,CLE,P,2008,6/07/2011,1990-03-20,29.616438356164384,29
Hoyt,James,CLE,P,2012,8/03/2016,1986-09-30,33.084931506849315,33
Karinchak,James,CLE,P,Undrafted,9/14/2019,1995-09-22,24.106849315068494,24
Kipnis,Jason,CLE,2B,2009,7/22/2011,1987-04-03,32.57808219178082,32
Lindor,Francisco,CLE,SS,2011,6/14/2015,1993-11-14,25.96164383561644,25
Luplow,Jordan,CLE,RF,2014,7/28/2017,1993-09-26,26.095890410958905,26
Maton,Phil,CLE,P,2015,6/11/2017,1993-03-25,26.602739726027398,26
Mercado,Oscar,CLE,CF,2013,5/14/2019,1994-12-16,24.873972602739727,24
Otero,Dan,CLE,P,2007,4/07/2012,1985-02-19,34.6958904109589,34
Pérez,Oliver,CLE,P,1999,6/16/2002,1981-08-15,38.21095890410959,38
Pérez,Roberto,CLE,C,2008,7/10/2014,1988-12-23,30.857459390672954,30
Plawecki,Kevin,CLE,C,2012,4/21/2015,1991-02-26,28.676712328767124,28
Alcántara,Sergio,DET,SS,Undrafted,-,1996-07-10,23.30958904109589,23
Alexander,Tyler,DET,P,Undrafted,7/03/2019,1994-07-14,25.2986301369863,25
Beckham,Gordon,DET,SS,2008,6/04/2009,1986-09-16,33.12328767123287,33
Boyd,Matthew,DET,P,2013,6/27/2015,1991-02-02,28.742465753424657,28
Cabrera,Miguel,DET,DH,1999,6/20/2003,1983-04-18,36.536986301369865,36
Candelario,Jeimer,DET,3B,2010,7/03/2016,1993-11-24,25.934246575342467,25
Castro,Harold,DET,CF,Undrafted,9/23/2018,1993-11-30,25.91780821917808,25
Castro,Willi,DET,SS,2013,8/24/2019,1997-04-24,22.52054794520548,22
Cisnero,José,DET,P,2007,4/22/2013,1989-04-11,30.556164383561644,30
Demeritte,Travis,DET,RF,Undrafted,8/02/2019,1994-09-30,25.084931506849315,25
Dixon,Brandon,DET,1B,2013,5/22/2018,1992-01-29,27.753424657534246,27
Farmer,Buck,DET,P,2013,8/13/2014,1991-02-20,28.693150684931506,28
Garcia,Bryan,DET,P,Undrafted,9/02/2019,1995-04-19,24.534246575342465,24
Goodrum,Niko,DET,2B,2010,9/02/2017,1992-02-28,27.671232876712327,27
Greiner,Grayson,DET,C,2014,5/06/2018,1992-10-11,27.054794520547944,27
Hall,Matt,DET,P,Undrafted,9/15/2018,1993-07-23,26.273972602739725,26
Jackson,Edwin,DET,P,2001,9/09/2003,1983-09-09,36.14246575342466,36
Jiménez,Joe,DET,P,2013,4/13/2017,1995-01-17,24.786301369863015,24
Lugo,Dawel,DET,3B,2011,8/30/2018,1994-12-31,24.832876712328765,24
McKay,David,DET,P,Undrafted,5/20/2019,1995-03-31,24.586301369863016,24
Mercer,Jordy,DET,SS,2008,5/29/2012,1986-08-27,33.178082191780824,33
Norris,Daniel,DET,P,2011,9/05/2014,1993-04-25,26.517808219178082,26
Perez,Franklin,DET,P,Undrafted,-,1997-12-06,21.9013698630137,21
Reyes,Victor,DET,LF,2011,4/01/2018,1994-10-05,25.07123287671233,25
Rodríguez,Ronny,DET,2B,2010,5/31/2018,1992-04-17,27.53972602739726,27
Anderson,Chase,MIL,P,2009,5/11/2014,1987-11-30,31.91780821917808,31
Arcia,Orlando,MIL,SS,2010,8/02/2016,1994-08-04,25.24109589041096,25
Austin,Tyler,MIL,LF,2010,8/13/2016,1991-09-06,28.15068493150685,28
Braun,Ryan,MIL,LF,2005,5/25/2007,1983-11-17,35.95342465753425,35
Cain,Lorenzo,MIL,CF,2004,7/16/2010,1986-04-13,33.55068493150685,33
Claudio,Alex,MIL,P,2010,8/13/2014,1992-01-31,27.747945205479454,27
Gamel,Ben,MIL,LF,2010,5/06/2016,1992-05-17,27.457534246575342,27
Grandal,Yasmani,MIL,C,2010,6/02/2012,1988-11-08,30.980410210345084,30
Grisham,Trent,MIL,RF,Undrafted,8/01/2019,1996-11-01,22.999535893405195,22
Guerra,Junior,MIL,P,2001,6/12/2015,1985-01-16,34.78904109589041,34
Hader,Josh,MIL,P,2012,6/10/2017,1994-04-07,25.567123287671233,25
Hiura,Keston,MIL,2B,2017,5/14/2019,1996-08-02,23.246575342465754,23
Jackson,Jay,MIL,P,2008,9/14/2015,1987-10-27,32.010958904109586,32
Lyles,Jordan,MIL,P,2008,5/31/2011,1990-10-19,29.03287671232877,29
Moustakas,Mike,MIL,3B,2007,6/10/2011,1988-09-11,31.136986301369863,31
Peralta,Freddy,MIL,P,2013,5/13/2018,1996-06-04,23.40821917808219,23
Piña,Manny,MIL,C,2004,8/03/2011,1987-06-05,32.40547945205479,32
Pomeranz,Drew,MIL,P,2010,9/11/2011,1988-11-22,30.942158844224867,30
Shaw,Travis,MIL,3B,2011,5/08/2015,1990-04-16,29.542465753424658,29
Spangenberg,Cory,MIL,3B,2011,9/01/2014,1991-03-16,28.627397260273973,28
Suter,Brent,MIL,P,2012,8/19/2016,1989-08-29,30.172602739726027,30
Taylor,Tyrone,MIL,CF,2012,9/07/2019,1994-01-22,25.77260273972603,25
Thames,Eric,MIL,1B,2008,5/18/2011,1986-11-10,32.97260273972603,32
Woodruff,Brandon,MIL,P,2014,6/13/2017,1993-02-10,26.720547945205478,26
Britton,Zack,NYY,P,2006,4/03/2011,1987-12-22,31.85753424657534,31
Cessa,Luis,NYY,P,2008,4/08/2016,1992-04-25,27.517808219178082,27
Chapman,Aroldis,NYY,P,2010,8/31/2010,1988-02-28,31.671232876712327,31
Encarnación,Edwin,NYY,1B,2000,6/24/2005,1983-01-07,36.81369863013698,36
Gardner,Brett,NYY,CF,2005,6/30/2008,1983-08-24,36.18630136986302,36
Green,Chad,NYY,P,2013,5/16/2016,1991-05-24,28.438356164383563,28
Gregorius,Didi,NYY,SS,2007,9/05/2012,1990-02-18,29.698630136986303,29
Happ,J,NYY,P,2004,6/30/2007,1982-10-19,37.032876712328765,37
Heller,Ben,NYY,P,2013,8/26/2016,1991-08-05,28.23835616438356,28
Hicks,Aaron,NYY,CF,2008,4/01/2013,1989-10-02,30.07945205479452,30
Judge,Aaron,NYY,RF,2013,8/13/2016,1992-04-26,27.515068493150686,27
Kahnle,Tommy,NYY,P,2010,4/03/2014,1989-08-07,30.232876712328768,30
LeMahieu,DJ,NYY,3B,2009,5/30/2011,1988-07-13,31.301369863013697,31
Loaisiga,Jonathan,NYY,P,2012,6/15/2018,1994-11-02,24.994520547945207,24
Lyons,Tyler,NYY,P,2010,5/22/2013,1988-02-21,31.69041095890411,31
Maybin,Cameron,NYY,LF,2005,8/17/2007,1987-04-04,32.57534246575342,32
Ottavino,Adam,NYY,P,2006,5/29/2010,1985-11-22,33.93972602739726,33
Paxton,James,NYY,P,2010,9/07/2013,1988-11-06,30.985874691219404,30
Romine,Austin,NYY,C,2007,9/11/2011,1988-11-22,30.942158844224867,30
Sánchez,Gary,NYY,C,2009,10/03/2015,1992-12-02,26.914836439853282,26
Severino,Luis,NYY,P,2012,8/05/2015,1994-02-20,25.693150684931506,25
Stanton,Giancarlo,NYY,LF,2007,6/08/2010,1989-11-08,29.97808219178082,29
Tanaka,Masahiro,NYY,P,2014,4/04/2014,1988-11-01,30.999535893405195,30
Torres,Gleyber,NYY,2B,2013,4/22/2018,1996-12-13,22.88478179504454,22
Urshela,Gio,NYY,3B,2008,6/09/2015,1991-10-11,28.054794520547944,28
Adam,Jason,TOR,P,2010,5/05/2018,1991-08-04,28.24109589041096,28
Alford,Anthony,TOR,CF,2012,5/19/2017,1994-07-20,25.28219178082192,25
Bass,Anthony,TOR,P,2008,6/13/2011,1987-11-01,31.997260273972604,31
Bichette,Bo,TOR,SS,2016,7/29/2019,1998-03-05,21.65753424657534,21
Biggio,Cavan,TOR,2B,2016,5/24/2019,1995-04-11,24.556164383561644,24
Buchholz,Clay,TOR,P,2005,8/17/2007,1984-08-14,35.21369863013699,35
Davis,Jonathan,TOR,CF,Undrafted,9/05/2018,1992-05-12,27.471232876712328,27
Diaz,Yennsy,TOR,P,Undrafted,8/04/2019,1996-11-15,22.961284527284977,22
Drury,Brandon,TOR,RF,2010,9/01/2015,1992-08-21,27.194520547945206,27
Fisher,Derek,TOR,LF,2014,6/14/2017,1993-08-21,26.194520547945206,26
Font,Wilmer,TOR,P,2006,9/18/2012,1990-05-24,29.438356164383563,29
Gaviglio,Sam,TOR,P,2011,5/11/2017,1990-05-22,29.443835616438356,29
Giles,Ken,TOR,P,2011,6/12/2014,1990-09-20,29.112328767123287,29
Grichuk,Randal,TOR,RF,2009,4/28/2014,1991-08-13,28.216438356164385,28
Guerrero,Jr,TOR,3B,Undrafted,4/26/2019,1999-03-16,20.627397260273973,20
Hernández,Teoscar,TOR,CF,2011,8/12/2016,1992-10-15,27.043835616438358,27
Jansen,Danny,TOR,C,2013,8/13/2018,1995-04-15,24.545205479452054,24
Kay,Anthony,TOR,P,Undrafted,9/07/2019,1995-03-21,24.613698630136987,24
Law,Derek,TOR,P,2011,4/15/2016,1990-09-14,29.12876712328767,29
Luciano,Elvis,TOR,P,Undrafted,3/31/2019,2000-02-15,19.706849315068492,19
Maile,Luke,TOR,C,2012,9/01/2015,1991-02-06,28.731506849315068,28
McGuire,Reese,TOR,C,2013,9/06/2018,1995-03-02,24.665753424657535,24
McKinney,Billy,TOR,RF,2013,3/30/2018,1994-08-23,25.18904109589041,25
Pannone,Thomas,TOR,P,2013,8/10/2018,1994-04-28,25.50958904109589,25
Romano,Jordan,TOR,P,Undrafted,6/12/2019,1993-04-21,26.528767123287672,26
Anderson,Justin,LAA,P,2014,4/23/2018,1992-09-28,27.09041095890411,27
Bard,Luke,LAA,P,2012,3/31/2018,1990-11-13,28.964383561643835,28
Barria,Jaime,LAA,P,2013,4/11/2018,1996-07-18,23.28767123287671,23
Bedrosian,Cam,LAA,P,2010,6/03/2014,1991-10-02,28.07945205479452,28
Bemboom,Anthony,LAA,C,Undrafted,5/12/2019,1990-01-18,29.783561643835615,29
Buttrey,Ty,LAA,P,2012,8/16/2018,1993-03-31,26.586301369863016,26
Cahill,Trevor,LAA,P,2006,4/07/2009,1988-03-01,31.66849315068493,31
Calhoun,Kole,LAA,RF,2010,5/22/2012,1987-10-14,32.04657534246575,32
Cole,Taylor,LAA,P,2011,8/09/2017,1989-08-20,30.197260273972603,30
Fletcher,David,LAA,2B,2015,6/13/2018,1994-05-31,25.41917808219178,25
Goodwin,Brian,LAA,LF,2011,8/06/2016,1990-11-02,28.994520547945207,28
Heaney,Andrew,LAA,P,2012,6/19/2014,1991-06-05,28.405479452054795,28
Hermosillo,Michael,LAA,RF,2013,5/18/2018,1995-01-17,24.786301369863015,24
Jewell,Jake,LAA,P,2014,6/16/2018,1993-05-16,26.46027397260274,26
La,Stella,LAA,3B,2011,5/28/2014,1989-01-31,30.747945205479454,30
Madero,Luis,LAA,P,Undrafted,-,1997-04-15,22.545205479452054,22
Mejía,Adalberto,LAA,P,2011,8/20/2016,1993-06-20,26.364383561643837,26
Middleton,Keynan,LAA,P,2013,5/05/2017,1993-09-12,26.134246575342466,26
Ohtani,Shohei,LAA,DH,2017,3/29/2018,1994-07-05,25.323287671232876,25
Peters,Dillon,LAA,P,2014,9/01/2017,1992-08-31,27.167123287671235,27
Pujols,Albert,LAA,1B,1999,4/02/2001,1980-01-16,39.78904109589041,39
Ramirez,Noé,LAA,P,2011,7/03/2015,1989-12-22,29.85753424657534,29
Robles,Hansel,LAA,P,2008,4/24/2015,1990-08-13,29.216438356164385,29
Rodriguez,Jose,LAA,P,Undrafted,7/27/2019,1995-08-29,24.172602739726027,24
Sandoval,Patrick,LAA,P,Undrafted,8/05/2019,1996-10-18,23.035616438356165,23
Abreu,José,CWS,1B,2013,3/31/2014,1987-01-29,32.75342465753425,32
Anderson,Tim,CWS,SS,2013,6/10/2016,1993-06-23,26.356164383561644,26
Bummer,Aaron,CWS,P,2014,7/27/2017,1993-09-21,26.10958904109589,26
Castillo,Welington,CWS,C,2004,8/11/2010,1987-04-24,32.52054794520548,32
Cease,Dylan,CWS,P,Undrafted,7/03/2019,1995-12-28,23.84109589041096,23
Collins,Zack,CWS,C,2016,6/19/2019,1995-02-06,24.731506849315068,24
Colomé,Alex,CWS,P,2007,5/30/2013,1988-12-31,30.835601467175685,30
Cordero,Jimmy,CWS,P,2012,8/02/2018,1991-10-19,28.03287671232877,28
Detwiler,Ross,CWS,P,2007,9/07/2007,1986-03-06,33.654794520547945,33
Engel,Adam,CWS,CF,2013,5/27/2017,1991-12-09,27.893150684931506,27
Fry,Jace,CWS,P,2014,9/05/2017,1993-07-09,26.312328767123287,26
Fulmer,Carson,CWS,P,2015,7/17/2016,1993-12-13,25.882191780821916,25
García,Leury,CWS,RF,2007,4/06/2013,1991-03-18,28.621917808219177,28
Herrera,Kelvin,CWS,P,2006,9/21/2011,1989-12-31,29.832876712328765,29
Jiménez,Eloy,CWS,LF,Undrafted,3/28/2019,1996-11-27,22.928497642039076,22
López,Reynaldo,CWS,P,2012,7/19/2016,1994-01-04,25.82191780821918,25
Marshall,Evan,CWS,P,2011,5/06/2014,1990-04-18,29.536986301369865,29
McCann,James,CWS,C,2011,9/01/2014,1990-06-13,29.383561643835616,29
Mendick,Danny,CWS,SS,Undrafted,9/03/2019,1993-09-28,26.09041095890411,26
Moncada,Yoán,CWS,3B,2015,9/02/2016,1995-05-27,24.43013698630137,24
Nova,Iván,CWS,P,2004,5/13/2010,1987-01-12,32.8,32
Osich,Josh,CWS,P,2011,7/03/2015,1988-09-03,31.15890410958904,31
Palka,Daniel,CWS,RF,2013,4/25/2018,1991-10-28,28.008219178082193,28
Ruiz,José,CWS,P,2011,7/24/2017,1994-10-21,25.027397260273972,25
Sánchez,Yolmer,CWS,2B,2009,7/13/2014,1992-06-29,27.339726027397262,27
Arteaga,Humberto,KC,SS,Undrafted,6/20/2019,1994-01-23,25.76986301369863,25
Barlow,Scott,KC,P,2011,4/30/2018,1992-12-18,26.871120592858748,26
Barnes,Jacob,KC,P,2011,6/03/2016,1990-04-14,29.54794520547945,29
Blewett,Scott,KC,P,2014,-,1996-04-10,23.55890410958904,23
Bonifacio,Jorge,KC,RF,2009,4/21/2017,1993-06-04,26.40821917808219,26
Cuthbert,Cheslor,KC,3B,2009,7/07/2015,1992-11-16,26.95855228684782,26
Dini,Nick,KC,C,Undrafted,8/08/2019,1993-07-27,26.263013698630136,26
Dozier,Hunter,KC,RF,2013,9/12/2016,1991-08-22,28.19178082191781,28
Duffy,Danny,KC,P,2007,5/18/2011,1988-12-21,30.86292387154727,30
Fillmyer,Heath,KC,P,2014,6/24/2018,1994-05-16,25.46027397260274,25
Gallagher,Cam,KC,C,2011,8/06/2017,1992-12-06,26.90390747810465,26
Gordon,Alex,KC,LF,2005,4/02/2007,1984-02-10,35.72054794520548,35
Greene,Conner,KC,P,2013,-,1995-04-04,24.575342465753426,24
Hahn,Jesse,KC,P,2010,6/03/2014,1989-07-30,30.254794520547946,30
Hernandez,Arnaldo,KC,P,Undrafted,-,1996-02-09,23.723287671232878,23
Hill,Tim,KC,P,2014,3/29/2018,1990-02-10,29.720547945205478,29
Junis,Jakob,KC,P,2011,4/12/2017,1992-09-16,27.123287671232877,27
Keller,Brad,KC,P,2013,3/29/2018,1995-07-27,24.263013698630136,24
Kennedy,Ian,KC,P,2006,9/01/2007,1984-12-19,34.86838835242159,34
Lopez,Nicky,KC,SS,Undrafted,5/14/2019,1995-03-13,24.635616438356166,24
López,Jorge,KC,P,2011,9/29/2015,1993-02-10,26.720547945205478,26
Lovelady,Richard,KC,P,2016,4/09/2019,1995-07-07,24.317808219178083,24
McBroom,Ryan,KC,1B,Undrafted,9/03/2019,1992-04-09,27.561643835616437,27
McCarthy,Kevin,KC,P,2013,9/09/2016,1992-02-22,27.687671232876713,27
Mejia,Erick,KC,2B,Undrafted,9/05/2019,1994-11-09,24.975342465753425,24
Adrianza,Ehire,MIN,3B,2006,9/08/2013,1989-08-21,30.194520547945206,30
Arraez,Luis,MIN,2B,Undrafted,5/18/2019,1997-04-09,22.561643835616437,22
Berríos,José,MIN,P,2012,4/27/2016,1994-05-27,25.43013698630137,25
Castro,Jason,MIN,C,2008,6/22/2010,1987-06-18,32.36986301369863,32
Cave,Jake,MIN,LF,2011,5/19/2018,1992-12-04,26.909371958978966,26
Cron,C,MIN,1B,2011,5/03/2014,1990-01-05,29.81917808219178,29
Cruz,Nelson,MIN,DH,1998,9/17/2005,1980-07-01,39.33424657534247,39
Dobnak,Randy,MIN,P,Undrafted,8/09/2019,1995-01-17,24.786301369863015,24
Duffey,Tyler,MIN,P,2012,8/05/2015,1990-12-27,28.843835616438355,28
Garver,Mitch,MIN,C,2013,8/19/2017,1991-01-15,28.791780821917808,28
Gibson,Kyle,MIN,P,2009,6/29/2013,1987-10-23,32.02191780821918,32
Gonzalez,Marwin,MIN,RF,2005,4/06/2012,1989-03-14,30.632876712328766,30
Graterol,Brusdar,MIN,P,Undrafted,9/01/2019,1998-08-26,21.18082191780822,21
Kepler,Max,MIN,CF,2009,9/27/2015,1993-02-10,26.720547945205478,26
Littell,Zack,MIN,P,2013,6/05/2018,1995-10-05,24.07123287671233,24
May,Trevor,MIN,P,2008,8/09/2014,1989-09-23,30.104109589041094,30
Odorizzi,Jake,MIN,P,2008,9/23/2012,1990-03-27,29.5972602739726,29
Polanco,Jorge,MIN,SS,2009,6/26/2014,1993-07-05,26.323287671232876,26
Rogers,Taylor,MIN,P,2012,4/14/2016,1990-12-17,28.87123287671233,28
Romo,Sergio,MIN,P,2005,6/26/2008,1983-03-04,36.66027397260274,36
Rosario,Eddie,MIN,LF,2010,5/06/2015,1991-09-28,28.09041095890411,28
Sanó,Miguel,MIN,3B,2009,7/02/2015,1993-05-11,26.473972602739725,26
Schoop,Jonathan,MIN,2B,2008,9/25/2013,1991-10-16,28.041095890410958,28
Smeltzer,Devin,MIN,P,Undrafted,5/28/2019,1995-09-07,24.147945205479452,24
Stashak,Cody,MIN,P,Undrafted,7/23/2019,1994-06-04,25.40821917808219,25
Barreto,Franklin,OAK,2B,2012,6/24/2017,1996-02-27,23.673972602739727,23
Bassitt,Chris,OAK,P,2011,8/30/2014,1989-02-22,30.687671232876713,30
Brown,Seth,OAK,1B,Undrafted,8/26/2019,1992-07-13,27.301369863013697,27
Buchter,Ryan,OAK,P,2005,6/20/2014,1987-02-13,32.71232876712329,32
Canha,Mark,OAK,CF,2010,4/08/2015,1989-02-15,30.706849315068492,30
Chapman,Matt,OAK,3B,2014,6/15/2017,1993-04-28,26.50958904109589,26
Davis,Khris,OAK,DH,2009,4/01/2013,1987-12-21,31.86027397260274,31
Diekman,Jake,OAK,P,2007,5/15/2012,1987-01-21,32.775342465753425,32
Fiers,Mike,OAK,P,2009,9/14/2011,1985-06-15,34.37808219178082,34
Grossman,Robbie,OAK,LF,2008,4/24/2013,1989-09-16,30.123287671232877,30
Hendriks,Liam,OAK,P,2007,9/06/2011,1989-02-10,30.720547945205478,30
Laureano,Ramón,OAK,CF,2014,8/03/2018,1994-07-15,25.295890410958904,25
Luzardo,Jesús,OAK,P,Undrafted,9/11/2019,1997-09-30,22.084931506849315,22
Manaea,Sean,OAK,P,2013,4/29/2016,1992-02-01,27.745205479452054,27
Murphy,Sean,OAK,C,Undrafted,9/04/2019,1994-10-10,25.057534246575344,25
Neuse,Sheldon,OAK,3B,2016,8/30/2019,1994-12-10,24.89041095890411,24
Olson,Matt,OAK,1B,2012,9/12/2016,1994-03-29,25.59178082191781,25
Petit,Yusmeiro,OAK,P,2001,5/14/2006,1984-11-22,34.94215884422487,34
Phegley,Josh,OAK,C,2009,7/05/2013,1988-02-12,31.715068493150685,31
Pinder,Chad,OAK,RF,2013,8/20/2016,1992-03-29,27.59178082191781,27
Profar,Jurickson,OAK,2B,2009,9/02/2012,1993-02-20,26.693150684931506,26
Puk,A,OAK,P,Undrafted,8/21/2019,1995-04-25,24.517808219178082,24
Semien,Marcus,OAK,SS,2011,9/04/2013,1990-09-17,29.12054794520548,29
Soria,Joakim,OAK,P,2005,4/04/2007,1984-05-18,35.45479452054794,35
Wendelken,J,OAK,P,2012,5/08/2016,1993-03-24,26.605479452054794,26
Adams,Austin,SEA,P,2012,7/15/2017,1991-05-05,28.49041095890411,28
Altavilla,Dan,SEA,P,2014,8/27/2016,1992-09-08,27.145205479452056,27
Bishop,Braden,SEA,CF,Undrafted,3/21/2019,1993-08-22,26.19178082191781,26
Brennan,Brandon,SEA,P,2012,3/21/2019,1991-07-26,28.265753424657536,28
Crawford,J,SEA,SS,2013,9/05/2017,1995-01-11,24.802739726027397,24
Dunn,Justin,SEA,P,Undrafted,9/12/2019,1995-09-22,24.106849315068494,24
Fraley,Jake,SEA,CF,Undrafted,8/21/2019,1995-05-25,24.435616438356163,24
Gonzales,Marco,SEA,P,2013,6/25/2014,1992-02-16,27.704109589041096,27
Gordon,Dee,SEA,2B,2008,6/06/2011,1988-04-22,31.526027397260275,31
Grotz,Zac,SEA,P,Undrafted,8/02/2019,1993-02-17,26.7013698630137,26
Guilbeau,Taylor,SEA,P,Undrafted,8/17/2019,1993-05-12,26.471232876712328,26
Hernández,Félix,SEA,P,2002,8/04/2005,1986-04-08,33.56438356164384,33
Kikuchi,Yusei,SEA,P,Undrafted,3/21/2019,1991-06-17,28.372602739726027,28
LeBlanc,Wade,SEA,P,2006,9/03/2008,1984-08-07,35.23287671232877,35
Lewis,Kyle,SEA,RF,Undrafted,9/10/2019,1995-07-13,24.301369863013697,24
Long,Shed,SEA,2B,2013,5/11/2019,1995-08-22,24.19178082191781,24
Lopes,Tim,SEA,LF,Undrafted,7/24/2019,1994-06-24,25.353424657534248,25
Magill,Matt,SEA,P,2008,4/27/2013,1989-11-10,29.972602739726028,29
McClain,Reggie,SEA,P,Undrafted,8/02/2019,1992-11-16,26.95855228684782,26
Milone,Tommy,SEA,P,2008,9/03/2011,1987-02-16,32.704109589041096,32
Moore,Dylan,SEA,LF,Undrafted,3/20/2019,1992-08-02,27.246575342465754,27
Murphy,Tom,SEA,C,2012,9/12/2015,1991-04-03,28.578082191780823,28
Narváez,Omar,SEA,C,2008,7/17/2016,1992-02-10,27.720547945205478,27
Nola,Austin,SEA,1B,2012,6/16/2019,1989-12-28,29.84109589041096,29
